,iteration,can_change_lane,can_open_traffic,can_find_nearest_hospital,number_of_vehicles,ambulance_arrival_time
0,#0,false,false,true,787,436
1,#9,false,false,false,225,90
2,#6,true,true,true,787,112
3,#9,true,false,false,787,77
4,#3,true,true,true,225,74
5,#6,true,true,true,225,69
6,#7,true,true,true,787,308
7,#0,false,true,false,787,344
8,#9,true,false,false,506,128
9,#3,false,false,false,225,134
10,#3,true,false,false,225,68
11,#9,false,false,true,506,189
12,#3,false,false,true,506,189
13,#2,true,false,false,225,328
14,#4,false,false,true,787,435
15,#4,true,true,true,787,308
16,#2,false,false,false,787,498
17,#1,false,false,true,225,188
18,#2,false,true,false,506,155
19,#2,true,false,false,506,118
20,#7,true,true,true,225,80
21,#5,false,true,false,225,68
22,#2,true,true,true,787,140
23,#6,false,true,false,787,218
24,#9,false,false,true,225,190
25,#8,true,true,true,787,298
26,#9,true,true,true,787,131
27,#5,false,false,false,225,88
28,#7,true,false,false,506,82
29,#6,false,true,false,506,150
30,#8,false,false,true,787,198
31,#5,true,true,true,225,75
32,#4,true,true,true,225,76
33,#1,false,true,false,506,101
34,#0,false,false,true,225,184
35,#2,false,false,false,225,69
36,#0,true,true,true,787,257
37,#6,true,false,false,787,301
38,#2,false,true,false,225,164
39,#5,false,false,false,506,113
40,#9,false,true,false,506,284
41,#0,true,true,true,225,-1
42,#0,true,false,false,787,105
43,#4,false,false,true,506,189
44,#4,true,false,false,787,88
45,#5,false,true,false,787,339
46,#7,false,true,false,225,73
47,#6,false,false,true,225,184
48,#3,false,false,false,506,132
49,#3,false,true,false,787,240
50,#9,false,false,false,506,98
51,#9,false,false,false,787,263
52,#7,false,false,true,225,190
53,#4,false,false,true,225,186
54,#6,false,false,false,225,96
55,#0,true,true,true,506,66
56,#6,false,false,false,787,292
57,#4,true,true,true,506,66
58,#2,false,false,false,506,128
59,#2,false,false,true,225,188
60,#0,false,true,false,506,128
61,#3,false,true,false,506,135
62,#1,true,false,false,506,78
63,#8,true,false,false,225,95
64,#3,true,false,false,506,111
65,#9,false,false,true,787,402
66,#4,false,true,false,506,155
67,#1,false,false,true,506,188
68,#5,true,true,true,506,262
69,#0,true,false,false,225,110
70,#5,true,false,false,506,93
71,#9,true,false,false,225,66
72,#3,true,true,true,506,101
73,#6,true,false,false,225,69
74,#6,false,false,false,506,98
75,#1,false,false,false,225,90
76,#7,false,true,false,506,89
77,#1,false,true,false,225,63
78,#6,false,true,false,225,92
79,#8,false,true,false,506,132
80,#1,true,true,true,506,89
81,#3,true,false,false,787,112
82,#4,false,true,false,787,135
83,#6,false,false,true,506,188
84,#8,true,false,false,506,91
85,#1,true,false,false,225,74
86,#8,true,false,false,787,321
87,#8,false,false,false,787,326
88,#3,false,false,true,787,432
89,#7,false,false,true,787,433
90,#6,true,false,false,506,98
91,#0,true,false,false,506,105
92,#4,false,false,false,506,103
93,#7,false,false,false,787,346
94,#4,false,false,false,225,99
95,#1,true,true,true,225,75
96,#4,true,false,false,506,314
97,#4,true,false,false,225,70
98,#0,false,true,false,225,124
99,#9,false,true,false,787,355
100,#0,false,false,false,506,263
101,#1,true,true,true,787,110
102,#3,false,true,false,225,162
103,#1,false,false,true,787,385
104,#2,false,true,false,787,141
105,#8,false,false,false,506,130
106,#9,true,true,true,506,72
107,#9,false,true,false,225,90
108,#4,false,false,false,787,133
109,#6,false,false,true,787,434
110,#2,false,false,true,787,432
111,#2,true,true,true,225,77
112,#7,true,false,false,225,93
113,#0,false,false,false,787,158
114,#8,false,true,false,225,151
115,#5,false,false,true,225,188
116,#5,true,false,false,225,104
117,#7,false,false,true,506,193
118,#1,false,false,false,787,121
119,#6,true,true,true,506,108
120,#8,false,false,false,225,131
121,#0,false,false,false,225,284
122,#8,false,true,false,787,327
123,#5,false,false,false,787,131
124,#5,false,false,true,787,193
125,#4,false,true,false,225,66
126,#8,true,true,true,506,220
127,#9,true,true,true,225,70
128,#8,false,false,true,225,186
129,#7,false,true,false,787,163
130,#5,true,true,true,787,136
131,#2,false,false,true,506,188
132,#1,true,false,false,787,103
133,#1,false,false,false,506,133
134,#5,false,false,true,506,189
135,#5,true,false,false,787,329
136,#8,false,false,true,506,186
137,#3,true,true,true,787,309
138,#2,true,true,true,506,92
139,#7,true,false,false,787,97
140,#7,false,false,false,225,90
141,#8,true,true,true,225,55
142,#7,false,false,false,506,109
143,#1,false,true,false,787,166
144,#5,false,true,false,506,104
145,#3,false,false,true,225,247
146,#0,false,false,true,506,399
147,#3,false,false,false,787,265
148,#7,true,true,true,506,93
149,#2,true,false,false,787,127
